time,number,latitude,longitude,t2m
2022-01-01 12:00:00,0,28.75,-1.5,289.0523408753493
2022-01-01 12:00:00,0,28.75,-1.25,288.99863629880804
2022-01-01 12:00:00,0,28.75,-1.0,288.9270301967531
2022-01-01 12:00:00,1,31.0,-3.0,287.3382698074091
2022-01-01 12:00:00,1,31.0,-2.75,287.54861273219547
2022-01-01 12:00:00,1,31.0,-2.5,287.7589556569819
2022-01-01 12:00:00,1,31.0,-2.25,287.54861273219547
2022-01-01 12:00:00,1,31.0,-2.0,287.3382698074091
2022-01-01 12:00:00,1,31.0,-1.75,287.1816314591639
2022-01-01 12:00:00,1,31.0,-1.5,287.0249931109188
2022-01-01 12:00:00,1,31.0,-1.25,286.9802392971344
2022-01-01 12:00:00,1,31.0,-1.0,286.93101010197165
2022-01-01 12:00:00,1,30.75,-3.0,287.6023173087367
2022-01-01 12:00:00,1,30.75,-2.75,287.8126602335231
2022-01-01 12:00:00,1,30.75,-2.5,287.91111862384867
2022-01-01 12:00:00,1,30.75,-2.25,287.69630031768384
2022-01-01 12:00:00,1,30.75,-2.0,287.48595739289743
2022-01-01 12:00:00,1,30.75,-1.75,287.32931904465227
2022-01-01 12:00:00,1,30.75,-1.5,287.2040083660561
2022-01-01 12:00:00,1,30.75,-1.25,287.1816314591639
2022-01-01 12:00:00,1,30.75,-1.0,287.13240226400114
2022-01-01 12:00:00,1,30.5,-3.0,287.8663648100643
2022-01-01 12:00:00,1,30.5,-2.75,287.96482320038984
2022-01-01 12:00:00,1,30.5,-2.5,288.0632815907154
2022-01-01 12:00:00,1,30.5,-2.25,287.8484632845506
2022-01-01 12:00:00,1,30.5,-2.0,287.63364497838575
2022-01-01 12:00:00,1,30.5,-1.75,287.50833429978957
2022-01-01 12:00:00,1,30.5,-1.5,287.38302362119344
2022-01-01 12:00:00,1,30.5,-1.25,287.3606467143013
2022-01-01 12:00:00,1,30.5,-1.0,287.3382698074091
2022-01-01 12:00:00,1,30.25,-3.0,288.0856584976076
2022-01-01 12:00:00,1,30.25,-2.75,288.11698616725664
2022-01-01 12:00:00,1,30.25,-2.5,288.21544455758215
2022-01-01 12:00:00,1,30.25,-2.25,288.0006262514173
2022-01-01 12:00:00,1,30.25,-2.0,287.82161099627996
2022-01-01 12:00:00,1,30.25,-1.75,287.7589556569819
2022-01-01 12:00:00,1,30.25,-1.5,287.63364497838575
2022-01-01 12:00:00,1,30.25,-1.25,287.61126807149355
2022-01-01 12:00:00,1,30.25,-1.0,287.57546502046614
2022-01-01 12:00:00,1,30.0,-3.0,288.3049521851508
2022-01-01 12:00:00,1,30.0,-2.75,288.33627985479984
2022-01-01 12:00:00,1,30.0,-2.5,288.3676075244489
2022-01-01 12:00:00,1,30.0,-2.25,288.1885922693116
2022-01-01 12:00:00,1,30.0,-2.0,288.01405239555265
2022-01-01 12:00:00,1,30.0,-1.75,287.95139705625456
2022-01-01 12:00:00,1,30.0,-1.5,287.8887417169565
2022-01-01 12:00:00,1,30.0,-1.25,287.852938665929
2022-01-01 12:00:00,1,30.0,-1.0,287.8126602335231
2022-01-01 12:00:00,1,29.75,-3.0,288.4884428216666
2022-01-01 12:00:00,1,29.75,-2.75,288.5197704913156
2022-01-01 12:00:00,1,29.75,-2.5,288.57347506785686
2022-01-01 12:00:00,1,29.75,-2.25,288.5287212540725
2022-01-01 12:00:00,1,29.75,-2.0,288.3541813803136
2022-01-01 12:00:00,1,29.75,-1.75,288.2915260410155
2022-01-01 12:00:00,1,29.75,-1.5,288.2199199389606
2022-01-01 12:00:00,1,29.75,-1.25,288.11251078587816
